"Genes"	"Synonyms"	"Accession-1"	"Accession-2"	"Names"	"Object ID"
"FPR2"	"FKB2" // "peptidyl-prolyl cis-trans isomerase"	"FPR2"		"FPR2" // "FKB2" // "peptidyl-prolyl cis-trans isomerase" // "FPR2"	"YDR519W"
"FPR3"	"NPI46" // "peptidyl-prolyl cis-trans isomerase"	"FPR3"		"FPR3" // "NPI46" // "peptidyl-prolyl cis-trans isomerase" // "FPR3"	"YML074C"
"FPR4"		"FPR4"		"FPR4" // "FPR4"	"YLR449W"
"FPS1"		"YLL043W"		"FPS1" // "YLL043W"	"G3O-32144"
"FRA1"		"YLL029W"		"FRA1" // "YLL029W"	"G3O-32133"
"FRA2"		"YGL220W"		"FRA2" // "YGL220W"	"G3O-30694"
"FRD1"		"YEL047C"		"FRD1" // "YEL047C"	"G3O-30165"
"FRE1"		"FRE1"		"FRE1" // "FRE1"	"YLR214W"
"FRE2"		"FRE2"		"FRE2" // "FRE2"	"YKL220C"
"FRE3"		"FRE3"		"FRE3" // "FRE3"	"YOR381W"
"FRE4"		"YNR060W"		"FRE4" // "YNR060W"	"G3O-33364"
"FRE5"		"YOR384W"		"FRE5" // "YOR384W"	"G3O-33846"
"FRE6"		"YLL051C"		"FRE6" // "YLL051C"	"G3O-32150"
"FRE7"		"YOL152W"		"FRE7" // "YOL152W"	"G3O-33540"
"FRE8"		"YLR047C"		"FRE8" // "YLR047C"	"G3O-32203"
"FRK1"		"YPL141C"		"FRK1" // "YPL141C"	"G3O-34039"
"FRM2"		"YCL026C-A"		"FRM2" // "YCL026C-A"	"G3O-29320"
"FRQ1"		"YDR373W"		"FRQ1" // "YDR373W"	"G3O-29923"
"FRS1"		"YLR060W"		"FRS1" // "YLR060W"	"G3O-32214"
"FRS2"		"YFL022C"		"FRS2" // "YFL022C"	"G3O-30438"
"FRT1"		"YOR324C"		"FRT1" // "YOR324C"	"G3O-33802"
"FRT2"		"YAL028W"		"FRT2" // "YAL028W"	"G3O-28839"
"FSF1"		"YOR271C"		"FSF1" // "YOR271C"	"G3O-33761"
"FSH1"		"YHR049W"		"FSH1" // "YHR049W"	"G3O-31104"
"FSH2"		"YMR222C"		"FSH2" // "YMR222C"	"G3O-32903"
"FSH3"		"YOR280C"		"FSH3" // "YOR280C"	"G3O-33767"
"FTH1"		"YBR207W"		"FTH1" // "YBR207W"	"G3O-29146"
"FTR1"		"YER145C"		"FTR1" // "YER145C"	"G3O-30306"
"FUB1"		"YCR076C"		"FUB1" // "YCR076C"	"G3O-29375"
"FUI1"		"YBL042C"		"FUI1" // "YBL042C"	"G3O-28943"
"FUM1"		"FUM1"		"FUM1" // "FUM1"	"YPL262W"
"FUN12"		"YAL035W"		"FUN12" // "YAL035W"	"G3O-28845"
"FUN14"		"YAL008W"		"FUN14" // "YAL008W"	"G3O-28821"
"FUN19"		"YAL034C"		"FUN19" // "YAL034C"	"G3O-28891"
"FUN26"		"YAL022C"		"FUN26" // "YAL022C"	"G3O-28834"
"FUN30"		"YAL019W"		"FUN30" // "YAL019W"	"G3O-28831"
"FUR1"		"FUR1"		"FUR1" // "FUR1"	"YHR128W"
"FUR4"		"YBR021W"		"FUR4" // "YBR021W"	"G3O-29002"
"FUS1"		"YCL027W"		"FUS1" // "YCL027W"	"G3O-29288"
"FUS2"		"YMR232W"		"FUS2" // "YMR232W"	"G3O-32913"
"FUS3"		"YBL016W"		"FUS3" // "YBL016W"	"G3O-28920"
"FYV10"		"YIL097W"		"FYV10" // "YIL097W"	"G3O-31356"
"FYV12"		"YOR183W"		"FYV12" // "YOR183W"	"G3O-33694"
"FYV4"		"YHR059W"		"FYV4" // "YHR059W"	"G3O-31112"
"FYV5"		"YCL058C"		"FYV5" // "YCL058C"	"G3O-29309"
"FYV6"		"YNL133C"		"FYV6" // "YNL133C"	"G3O-33153"
"FYV7"		"YLR068W"		"FYV7" // "YLR068W"	"G3O-32221"
"FYV8"		"YGR196C"		"FYV8" // "YGR196C"	"G3O-30882"
"FZF1"		"YGL254W"		"FZF1" // "YGL254W"	"G3O-30723"
"FZO1"		"YBR179C"		"FZO1" // "YBR179C"	"G3O-29123"
"GAA1"		"YLR088W"		"GAA1" // "YLR088W"	"G3O-32239"
"GAB1"		"YLR459W"		"GAB1" // "YLR459W"	"G3O-32511"
"GAC1"		"YOR178C"		"GAC1" // "YOR178C"	"G3O-33690"
"GAD1"		"GAD1"		"GAD1" // "GAD1"	"YMR250W"
"GAL1"		"GAL1"		"GAL1" // "GAL1"	"YBR020W"
"GAL10"		"GAL10"		"GAL10" // "GAL10"	"YBR019C"
"GAL11"		"YOL051W"		"GAL11" // "YOL051W"	"G3O-33462"
"GAL2"		"YLR081W"		"GAL2" // "YLR081W"	"G3O-32232"
"GAL3"		"YDR009W"		"GAL3" // "YDR009W"	"G3O-29629"
"GAL4"		"YPL248C"		"GAL4" // "YPL248C"	"G3O-34134"
"GAL7"		"GAL7"		"GAL7" // "GAL7"	"YBR018C"
"GAL80"		"YML051W"		"GAL80" // "YML051W"	"G3O-32648"
"GAL83"		"YER027C"		"GAL83" // "YER027C"	"G3O-30208"
"GAP1"		"YKR039W"		"GAP1" // "YKR039W"	"G3O-32011"
"GAR1"		"YHR089C"		"GAR1" // "YHR089C"	"G3O-31136"
"GAS1"		"YMR307W"		"GAS1" // "YMR307W"	"G3O-32971"
"GAS2"		"YLR343W"		"GAS2" // "YLR343W"	"G3O-32419"
"GAS3"		"YMR215W"		"GAS3" // "YMR215W"	"G3O-32898"
"GAS4"		"YOL132W"		"GAS4" // "YOL132W"	"G3O-33527"
"GAS5"		"YOL030W"		"GAS5" // "YOL030W"	"G3O-33446"
"GAT1"		"YFL021W"		"GAT1" // "YFL021W"	"G3O-30439"
"GAT2"		"YMR136W"		"GAT2" // "YMR136W"	"G3O-32829"
"GAT3"		"YLR013W"		"GAT3" // "YLR013W"	"G3O-32174"
"GAT4"		"YIR013C"		"GAT4" // "YIR013C"	"G3O-31434"
"GBP2"		"YCL011C"		"GBP2" // "YCL011C"	"G3O-29280"
"GCD1"		"YOR260W"		"GCD1" // "YOR260W"	"G3O-33751"
"GCD10"	"TRM6" // "TIF33"	"YNL062C"		"GCD10" // "TRM6" // "TIF33" // "YNL062C"	"G3O-33092"
"GCD11"		"YER025W"		"GCD11" // "YER025W"	"G3O-30207"
"GCD14"	"TRM61"	"YJL125C"		"GCD14" // "TRM61" // "YJL125C"	"G3O-31576"
"GCD2"		"YGR083C"		"GCD2" // "YGR083C"	"G3O-30795"
"GCD6"		"YDR211W"		"GCD6" // "YDR211W"	"G3O-29793"
"GCD7"		"YLR291C"		"GCD7" // "YLR291C"	"G3O-32386"
"GCG1"		"YER163C"		"GCG1" // "YER163C"	"G3O-30324"
"GCN1"		"YGL195W"		"GCN1" // "YGL195W"	"G3O-30676"
"GCN2"		"YDR283C"		"GCN2" // "YDR283C"	"G3O-29848"
"GCN20"		"YFR009W"		"GCN20" // "YFR009W"	"G3O-30462"
"GCN3"		"YKR026C"		"GCN3" // "YKR026C"	"G3O-32002"
"GCN4"		"YEL009C"		"GCN4" // "YEL009C"	"G3O-30137"
"GCN5"		"YGR252W"		"GCN5" // "YGR252W"	"G3O-30925"
"GCR1"		"YPL075W"		"GCR1" // "YPL075W"	"G3O-33982"
"GCR2"		"YNL199C"		"GCR2" // "YNL199C"	"G3O-33208"
"GCS1"		"YDL226C"		"GCS1" // "YDL226C"	"G3O-29606"
"GCV1"	"GSD1"	"GCV1"		"GCV1" // "GSD1" // "GCV1"	"YDR019C"
"GCV2"	"GSD2" // "glycine dehydrogenase (decarboxylating)"	"GCV2"		"GCV2" // "GSD2" // "glycine dehydrogenase (decarboxylating)" // "GCV2"	"YMR189W"
"GCV3"	"gcvH" // "gcv" // "YAL044C"	"YAL044C"		"GCV3" // "gcvH" // "gcv" // "YAL044C" // "YAL044C"	"G3O-163"
"GCY1"	"GCY"	"GCY1"		"GCY1" // "GCY" // "GCY1"	"YOR120W"
"GDA1"		"GDA1"		"GDA1" // "GDA1"	"YEL042W"
"GDB1"	"G-10444"	"GDB1"		"GDB1" // "G-10444" // "GDB1"	"YPR184W"
"GDE1"		"YPL110C"		"GDE1" // "YPL110C"	"G3O-34012"
"GDH1"	"DHE4" // "GDHA" // "GDH-A" // "URE1" // "glutamate dehydrogenase (NADP+)"	"GDH1"		"GDH1" // "DHE4" // "GDHA" // "GDH-A" // "URE1" // "glutamate dehydrogenase (NADP+)" // "GDH1"	"YOR375C"
"GDH2"	"GDHB" // "GDH-B" // "glutamate dehydrogenase"	"GDH2"		"GDH2" // "GDHB" // "GDH-B" // "glutamate dehydrogenase" // "GDH2"	"YDL215C"
"GDH3"	"FUN51" // "glutamate dehydrogenase (NADP+)"	"GDH3"		"GDH3" // "FUN51" // "glutamate dehydrogenase (NADP+)" // "GDH3"	"YAL062W"
"GDI1"		"YER136W"		"GDI1" // "YER136W"	"G3O-30297"
"GDS1"		"YOR355W"		"GDS1" // "YOR355W"	"G3O-33826"
"GDT1"		"YBR187W"		"GDT1" // "YBR187W"	"G3O-29130"
"GEA1"		"YJR031C"		"GEA1" // "YJR031C"	"G3O-31669"
"GEA2"		"YEL022W"		"GEA2" // "YEL022W"	"G3O-30146"
"GEF1"		"YJR040W"		"GEF1" // "YJR040W"	"G3O-31675"
"GEM1"		"YAL048C"		"GEM1" // "YAL048C"	"G3O-28855"
"GEP3"		"YOR205C"		"GEP3" // "YOR205C"	"G3O-33709"
"GEP4"		"YHR100C"		"GEP4" // "YHR100C"	"G3O-31145"
"GEP5"		"YLR091W"		"GEP5" // "YLR091W"	"G3O-32241"
"GEP7"		"YGL057C"		"GEP7" // "YGL057C"	"G3O-30565"
"GET1"		"YGL020C"		"GET1" // "YGL020C"	"G3O-30540"
"GET2"		"YER083C"		"GET2" // "YER083C"	"G3O-30253"
"GET3"		"YDL100C"		"GET3" // "YDL100C"	"G3O-29503"
"GET4"		"YOR164C"		"GET4" // "YOR164C"	"G3O-33680"
"GEX1"		"YCL073C"		"GEX1" // "YCL073C"	"G3O-29317"
"GEX2"		"YKR106W"		"GEX2" // "YKR106W"	"G3O-32068"
"GFA1"		"GFA1"		"GFA1" // "GFA1"	"YKL104C"
"GFD1"		"YMR255W"		"GFD1" // "YMR255W"	"G3O-32931"
"GFD2"		"YCL036W"		"GFD2" // "YCL036W"	"G3O-29295"
"GGA1"		"YDR358W"		"GGA1" // "YDR358W"	"G3O-29909"
"GGA2"		"YHR108W"		"GGA2" // "YHR108W"	"G3O-31151"
"GGC1"		"YDL198C"		"GGC1" // "YDL198C"	"G3O-29582"
"GIC1"		"YHR061C"		"GIC1" // "YHR061C"	"G3O-31114"
"GIC2"		"YDR309C"		"GIC2" // "YDR309C"	"G3O-29868"
"GID7"		"YCL039W"		"GID7" // "YCL039W"	"G3O-29298"
"GID8"		"YMR135C"		"GID8" // "YMR135C"	"G3O-32828"
"GIM3"		"YNL153C"		"GIM3" // "YNL153C"	"G3O-33170"
"GIM4"		"YEL003W"		"GIM4" // "YEL003W"	"G3O-30132"
"GIM5"		"YML094W"		"GIM5" // "YML094W"	"G3O-32679"
"GIN4"		"YDR507C"		"GIN4" // "YDR507C"	"G3O-30028"
"GIP1"		"YBR045C"		"GIP1" // "YBR045C"	"G3O-29018"
"GIP2"		"YER054C"		"GIP2" // "YER054C"	"G3O-30232"
"GIP3"		"YPL137C"		"GIP3" // "YPL137C"	"G3O-34035"
"GIP4"		"YAL031C"		"GIP4" // "YAL031C"	"G3O-28842"
"GIR2"		"YDR152W"		"GIR2" // "YDR152W"	"G3O-29746"
"GIS1"		"YDR096W"		"GIS1" // "YDR096W"	"G3O-29699"
"GIS2"		"YNL255C"		"GIS2" // "YNL255C"	"G3O-33252"
"GIS3"		"YLR094C"		"GIS3" // "YLR094C"	"G3O-32244"
"GIS4"		"YML006C"		"GIS4" // "YML006C"	"G3O-32611"
"GIT1"		"YCR098C"		"GIT1" // "YCR098C"	"G3O-29392"
"GLC3"	"GHA1" // "1,4-alpha-glucan branching enzyme"	"GLC3"		"GLC3" // "GHA1" // "1,4-alpha-glucan branching enzyme" // "GLC3"	"YEL011W"
"GLC7"	"DIS2S1" // "PP1" // "DIS2" // "CID1"	"GLC7"		"GLC7" // "DIS2S1" // "PP1" // "DIS2" // "CID1" // "GLC7"	"YER133W"
"GLC8"		"YMR311C"		"GLC8" // "YMR311C"	"G3O-32975"
"GLE1"		"YDL207W"		"GLE1" // "YDL207W"	"G3O-29589"
"GLE2"		"YER107C"		"GLE2" // "YER107C"	"G3O-30272"
"GLG1"		"GLG1"		"GLG1" // "GLG1"	"YKR058W"
"GLG2"		"GLG2"		"GLG2" // "GLG2"	"YJL137C"
"GLK1"	"HOR3"	"GLK1"		"GLK1" // "HOR3" // "GLK1"	"YCL040W"
"GLN1"		"GLN1"		"GLN1" // "GLN1"	"YPR035W"
"GLN3"		"YER040W"		"GLN3" // "YER040W"	"G3O-30221"
"GLN4"		"YOR168W"		"GLN4" // "YOR168W"	"G3O-33684"
"GLO1"		"GLO1"		"GLO1" // "GLO1"	"YML004C"
"GLO2"		"GLO2"		"GLO2" // "GLO2"	"YDR272W"
"GLO3"		"YER122C"		"GLO3" // "YER122C"	"G3O-30286"
"GLO4"		"GLO4"		"GLO4" // "GLO4"	"YOR040W"
"GLR1"	"LPG17" // "glutathione reductase (NADPH)"	"GLR1"		"GLR1" // "LPG17" // "glutathione reductase (NADPH)" // "GLR1"	"YPL091W"
"GLT1"		"GLT1"		"GLT1" // "GLT1"	"YDL171C"
"GLY1"		"GLY1"		"GLY1" // "GLY1"	"YEL046C"
"GMC1"		"YDR506C"		"GMC1" // "YDR506C"	"G3O-30027"
"GMC2"		"YLR445W"		"GMC2" // "YLR445W"	"G3O-32500"
"GMH1"		"YKR030W"		"GMH1" // "YKR030W"	"G3O-32006"
"GNA1"	"PAT1"	"GNA1"		"GNA1" // "PAT1" // "GNA1"	"YFL017C"
"GND1"		"GND1"		"GND1" // "GND1"	"YHR183W"
"GND2"		"GND2"		"GND2" // "GND2"	"YGR256W"
"GNP1"		"YDR508C"		"GNP1" // "YDR508C"	"G3O-30029"
"GNT1"		"YOR320C"		"GNT1" // "YOR320C"	"G3O-33800"
"GON7"		"YJL184W"		"GON7" // "YJL184W"	"G3O-31618"
"GOR1"		"YNL274C"		"GOR1" // "YNL274C"	"G3O-33268"
"GOS1"		"YHL031C"		"GOS1" // "YHL031C"	"G3O-31051"
"GOT1"		"YMR292W"		"GOT1" // "YMR292W"	"G3O-32962"
"GPA1"		"YHR005C"		"GPA1" // "YHR005C"	"G3O-31070"
"GPA2"		"YER020W"		"GPA2" // "YER020W"	"G3O-30204"
"GPB1"		"YOR371C"		"GPB1" // "YOR371C"	"G3O-33839"
"GPB2"		"YAL056W"		"GPB2" // "YAL056W"	"G3O-28860"
"GPD1"	"OSR5" // "OSG1" // "HOR1" // "DAR1"	"GPD1"		"GPD1" // "OSR5" // "OSG1" // "HOR1" // "DAR1" // "GPD1"	"YDL022W"
"GPD2"	"GPD3"	"GPD2"		"GPD2" // "GPD3" // "GPD2"	"YOL059W"
"GPG1"		"YGL121C"		"GPG1" // "YGL121C"	"G3O-30618"
"GPH1"	"G-10445"	"GPH1"		"GPH1" // "G-10445" // "GPH1"	"YPR160W"
"GPI1"		"YGR216C"		"GPI1" // "YGR216C"	"G3O-30898"
"GPI10"		"GPI10"		"GPI10" // "GPI10"	"YGL142C"
"GPI11"		"YDR302W"		"GPI11" // "YDR302W"	"G3O-29862"
"GPI12"		"GPI12"		"GPI12" // "GPI12"	"YMR281W"
"GPI13"		"YLL031C"		"GPI13" // "YLL031C"	"G3O-32134"
"GPI14"		"YJR013W"		"GPI14" // "YJR013W"	"G3O-31658"
"GPI15"		"YNL038W"		"GPI15" // "YNL038W"	"G3O-33074"
"GPI16"		"GPI16"		"GPI16" // "GPI16"	"YHR188C"
"GPI17"		"GPI17"		"GPI17" // "GPI17"	"YDR434W"
"GPI18"		"YBR004C"		"GPI18" // "YBR004C"	"G3O-28992"
"GPI19"		"YDR437W"		"GPI19" // "YDR437W"	"G3O-29971"
"GPI2"		"YPL076W"		"GPI2" // "YPL076W"	"G3O-33983"
"GPI8"		"YDR331W"		"GPI8" // "YDR331W"	"G3O-29887"
"GPM1"		"GPM1"		"GPM1" // "GPM1"	"YKL152C"
"GPM2"		"YDL021W"		"GPM2" // "YDL021W"	"G3O-29450"
"GPM3"		"YOL056W"		"GPM3" // "YOL056W"	"G3O-33467"
"GPP1"	"RHR2"	"GPP1"		"GPP1" // "RHR2" // "GPP1"	"YIL053W"
"GPP2"	"HOR2" // "glycerol-1-phosphatase"	"GPP2"		"GPP2" // "HOR2" // "glycerol-1-phosphatase" // "GPP2"	"YER062C"
"GPR1"		"YDL035C"		"GPR1" // "YDL035C"	"G3O-29459"
"GPT2"	"GAT1"	"GPT2"		"GPT2" // "GAT1" // "GPT2"	"YKR067W"
"GPX1"		"GPX1"		"GPX1" // "GPX1"	"YKL026C"
"GPX2"	"AMI1"	"GPX2"		"GPX2" // "AMI1" // "GPX2"	"YBR244W"
"GRC3"		"YLL035W"		"GRC3" // "YLL035W"	"G3O-32138"
"GRE1"		"YPL223C"		"GRE1" // "YPL223C"	"G3O-34112"
"GRE2"		"GRE2"		"GRE2" // "GRE2"	"YOL151W"
"GRE3"		"GRE3"		"GRE3" // "GRE3"	"YHR104W"
"GRH1"		"YDR517W"		"GRH1" // "YDR517W"	"G3O-30036"
"GRR1"		"YJR090C"		"GRR1" // "YJR090C"	"G3O-31717"
"GRS1"		"YBR121C"		"GRS1" // "YBR121C"	"G3O-29078"
"GRS2"		"YPR081C"		"GRS2" // "YPR081C"	"G3O-34225"
"GRX1"		"GRX1"		"GRX1" // "GRX1"	"YCL035C"
"GRX2"	"TTR1"	"GRX2"		"GRX2" // "TTR1" // "GRX2"	"YDR513W"
"GRX3"	"YDR098C"	"YDR098C"		"GRX3" // "YDR098C" // "YDR098C"	"G3O-29701"
"GRX4"	"YER174C"	"YER174C"		"GRX4" // "YER174C" // "YER174C"	"G3O-1601"
"GRX5"	"YPL059W"	"YPL059W"		"GRX5" // "YPL059W" // "YPL059W"	"G3O-1606"
"GRX6"		"YDL010W"		"GRX6" // "YDL010W"	"G3O-29441"
"GRX7"		"YBR014C"		"GRX7" // "YBR014C"	"G3O-28999"
"GRX8"		"YLR364W"		"GRX8" // "YLR364W"	"G3O-32435"
"GSF2"		"YML048W"		"GSF2" // "YML048W"	"G3O-32645"
"GSH1"		"GSH1"		"GSH1" // "GSH1"	"YJL101C"
"GSH2"		"GSH2"		"GSH2" // "GSH2"	"YOL049W"
"GSM1"		"YJL103C"		"GSM1" // "YJL103C"	"G3O-31557"
"GSP1"		"YLR293C"		"GSP1" // "YLR293C"	"G3O-32388"
"GSP2"		"YOR185C"		"GSP2" // "YOR185C"	"G3O-33695"
"GSY1"		"GSY1"		"GSY1" // "GSY1"	"YFR015C"
"GSY2"		"GSY2"		"GSY2" // "GSY2"	"YLR258W"
"GTB1"		"YDR221W"		"GTB1" // "YDR221W"	"G3O-29801"
"GTF1"		"YGR102C"		"GTF1" // "YGR102C"	"G3O-30812"
"GTO1"		"YGR154C"		"GTO1" // "YGR154C"	"G3O-30856"
"GTO3"		"YMR251W"		"GTO3" // "YMR251W"	"G3O-32927"
"GTR1"		"YML121W"		"GTR1" // "YML121W"	"G3O-32701"
"GTR2"		"YGR163W"		"GTR2" // "YGR163W"	"G3O-30862"
"GTS1"		"YGL181W"		"GTS1" // "YGL181W"	"G3O-30668"
"GTT1"		"GTT1"		"GTT1" // "GTT1"	"YIR038C"
"GTT2"		"GTT2"		"GTT2" // "GTT2"	"YLL060C"
"GTT3"		"YEL017W"		"GTT3" // "YEL017W"	"G3O-30142"
"GUA1"		"GUA1"		"GUA1" // "GUA1"	"YMR217W"
"GUD1"	"YDL238C"	"YDL238C"		"GUD1" // "YDL238C" // "YDL238C"	"G3O-0"
"GUF1"		"YLR289W"		"GUF1" // "YLR289W"	"G3O-32384"
"GUK1"	"PUR5"	"GUK1"		"GUK1" // "PUR5" // "GUK1"	"YDR454C"
"GUP1"		"YGL084C"		"GUP1" // "YGL084C"	"G3O-30585"
"GUP2"		"YPL189W"		"GUP2" // "YPL189W"	"G3O-34082"
"GUS1"		"YGL245W"		"GUS1" // "YGL245W"	"G3O-30716"
"GUT1"		"GUT1"		"GUT1" // "GUT1"	"YHL032C"
"GUT2"		"GUT2"		"GUT2" // "GUT2"	"YIL155C"
"GVP36"		"YIL041W"		"GVP36" // "YIL041W"	"G3O-31313"
"GWT1"		"YJL091C"		"GWT1" // "YJL091C"	"G3O-31546"
"GYL1"		"YMR192W"		"GYL1" // "YMR192W"	"G3O-32879"
"GYP1"		"YOR070C"		"GYP1" // "YOR070C"	"G3O-33609"
"GYP5"		"YPL249C"		"GYP5" // "YPL249C"	"G3O-34135"
"GYP6"		"YJL044C"		"GYP6" // "YJL044C"	"G3O-31509"
"GYP7"		"YDL234C"		"GYP7" // "YDL234C"	"G3O-29612"
"GYP8"		"YFL027C"		"GYP8" // "YFL027C"	"G3O-30433"
"GZF3"		"YJL110C"		"GZF3" // "YJL110C"	"G3O-31564"
"HAA1"		"YPR008W"		"HAA1" // "YPR008W"	"G3O-34170"
"HAC1"		"YFL031W"		"HAC1" // "YFL031W"	"G3O-30430"
"HAL1"		"YPR005C"		"HAL1" // "YPR005C"	"G3O-34167"
"HAL5"		"YJL165C"		"HAL5" // "YJL165C"	"G3O-31605"
"HAL9"		"YOL089C"		"HAL9" // "YOL089C"	"G3O-33489"
"HAM1"		"YJR069C"		"HAM1" // "YJR069C"	"G3O-31702"
"HAP1"		"YLR256W"		"HAP1" // "YLR256W"	"G3O-32359"
"HAP2"		"YGL237C"		"HAP2" // "YGL237C"	"G3O-30710"
"HAP3"		"YBL021C"		"HAP3" // "YBL021C"	"G3O-28924"
"HAP4"		"YKL109W"		"HAP4" // "YKL109W"	"G3O-31895"
"HAP5"		"YOR358W"		"HAP5" // "YOR358W"	"G3O-33829"
"HAS1"		"YMR290C"		"HAS1" // "YMR290C"	"G3O-32960"
"HAT1"		"YPL001W"		"HAT1" // "YPL001W"	"G3O-33920"
"HAT2"		"YEL056W"		"HAT2" // "YEL056W"	"G3O-30174"
"HBN1"		"YCL026C-B"		"HBN1" // "YCL026C-B"	"G3O-29420"
"HBS1"		"YKR084C"		"HBS1" // "YKR084C"	"G3O-32047"
"HBT1"		"YDL223C"		"HBT1" // "YDL223C"	"G3O-29603"
"HCA4"		"YJL033W"		"HCA4" // "YJL033W"	"G3O-31500"
"HCH1"		"YNL281W"		"HCH1" // "YNL281W"	"G3O-33272"
"HCM1"		"YCR065W"		"HCM1" // "YCR065W"	"G3O-29368"
"HCR1"		"YLR192C"		"HCR1" // "YLR192C"	"G3O-32314"
"HCS1"		"YKL017C"		"HCS1" // "YKL017C"	"G3O-31826"
"HDA1"		"YNL021W"		"HDA1" // "YNL021W"	"G3O-33059"
"HDA2"		"YDR295C"		"HDA2" // "YDR295C"	"G3O-29857"
"HDA3"		"YPR179C"		"HDA3" // "YPR179C"	"G3O-34304"
"HED1"		"YDR014W-A"		"HED1" // "YDR014W-A"	"G3O-30129"
"HEF3"		"YNL014W"		"HEF3" // "YNL014W"	"G3O-33053"
"HEH2"		"YDR458C"		"HEH2" // "YDR458C"	"G3O-29986"
"HEK2"		"YBL032W"		"HEK2" // "YBL032W"	"G3O-28935"
"HEL1"		"YKR017C"		"HEL1" // "YKR017C"	"G3O-31993"
"HEL2"		"YDR266C"		"HEL2" // "YDR266C"	"G3O-29836"
"HEM1"	"OLE3" // "CYD1"	"HEM1"		"HEM1" // "OLE3" // "CYD1" // "HEM1"	"YDR232W"
"HEM12"	"HEM6"	"HEM12"		"HEM12" // "HEM6" // "HEM12"	"YDR047W"
"HEM13"		"HEM13"		"HEM13" // "HEM13"	"YDR044W"
"HEM14"		"HEM14"		"HEM14" // "HEM14"	"YER014W"
"HEM15"		"HEM15"		"HEM15" // "HEM15"	"YOR176W"
"HEM2"	"OLE4" // "SLU1" // "porphobilinogen synthase"	"HEM2"		"HEM2" // "OLE4" // "SLU1" // "porphobilinogen synthase" // "HEM2"	"YGL040C"
"HEM3"	"OLE2" // "hydroxymethylbilane synthase"	"HEM3"		"HEM3" // "OLE2" // "hydroxymethylbilane synthase" // "HEM3"	"YDL205C"
"HEM4"	"SLU2"	"HEM4"		"HEM4" // "SLU2" // "HEM4"	"YOR278W"
"HER1"		"YOR227W"		"HER1" // "YOR227W"	"G3O-33725"
"HER2"		"YMR293C"		"HER2" // "YMR293C"	"G3O-32963"
"HES1"		"YOR237W"		"HES1" // "YOR237W"	"G3O-33733"
"HFA1"		"HFA1"		"HFA1" // "HFA1"	"YMR207C"
"HFD1"		"YMR110C"		"HFD1" // "YMR110C"	"G3O-32806"
"HFI1"		"YPL254W"		"HFI1" // "YPL254W"	"G3O-34139"
"HFM1"		"YGL251C"		"HFM1" // "YGL251C"	"G3O-30721"
"HGH1"		"YGR187C"		"HGH1" // "YGR187C"	"G3O-30877"
"HHF1"		"YBR009C"		"HHF1" // "YBR009C"	"G3O-28996"
"HHF2"		"YNL030W"		"HHF2" // "YNL030W"	"G3O-33067"
"HHO1"		"YPL127C"		"HHO1" // "YPL127C"	"G3O-34026"
"HHT1"		"YBR010W"		"HHT1" // "YBR010W"	"G3O-28997"
"HHT2"		"YNL031C"		"HHT2" // "YNL031C"	"G3O-33068"
"HIF1"		"YLL022C"		"HIF1" // "YLL022C"	"G3O-32126"
"HIM1"		"YDR317W"		"HIM1" // "YDR317W"	"G3O-29875"
"HIP1"		"YGR191W"		"HIP1" // "YGR191W"	"G3O-30880"
"HIR1"		"YBL008W"		"HIR1" // "YBL008W"	"G3O-28914"
"HIR2"		"YOR038C"		"HIR2" // "YOR038C"	"G3O-33584"
"HIR3"		"YJR140C"		"HIR3" // "YJR140C"	"G3O-31755"
"HIS1"		"HIS1"		"HIS1" // "HIS1"	"YER055C"
"HIS2"		"HIS2"		"HIS2" // "HIS2"	"YFR025C"
"HIS3"	"HIS8" // "HIS10"	"HIS3"		"HIS3" // "HIS8" // "HIS10" // "HIS3"	"YOR202W"
"HIS4"		"HIS4"		"HIS4" // "HIS4"	"YCL030C"
"HIS5"		"HIS5"		"HIS5" // "HIS5"	"YIL116W"
"HIS6"		"HIS6"		"HIS6" // "HIS6"	"YIL020C"
"HIS7"		"HIS7"		"HIS7" // "HIS7"	"YBR248C"
"HIT1"		"YJR055W"		"HIT1" // "YJR055W"	"G3O-31689"
"HKR1"		"YDR420W"		"HKR1" // "YDR420W"	"G3O-29961"
"HLJ1"		"YMR161W"		"HLJ1" // "YMR161W"	"G3O-32851"
"HLR1"		"YDR528W"		"HLR1" // "YDR528W"	"G3O-30042"
"HMF1"		"YER057C"		"HMF1" // "YER057C"	"G3O-30234"
"HMG1"		"HMG1"		"HMG1" // "HMG1"	"YML075C"
"HMG2"		"HMG2"		"HMG2" // "HMG2"	"YLR450W"
"HMI1"		"YOL095C"		"HMI1" // "YOL095C"	"G3O-33495"
"HMLALPHA1"		"YCL066W"		"HMLALPHA1" // "YCL066W"	"G3O-29313"
"HMLALPHA2"		"YCL067C"		"HMLALPHA2" // "YCL067C"	"G3O-29314"
"HMO1"		"YDR174W"		"HMO1" // "YDR174W"	"G3O-29763"
"HMRA1"		"YCR097W"		"HMRA1" // "YCR097W"	"G3O-29391"
"HMRA2"		"YCR096C"		"HMRA2" // "YCR096C"	"G3O-29390"
"HMS1"		"YOR032C"		"HMS1" // "YOR032C"	"G3O-33578"
"HMS2"		"YJR147W"		"HMS2" // "YJR147W"	"G3O-31761"
"HMT1"		"YBR034C"		"HMT1" // "YBR034C"	"G3O-29011"
