Product Name,Genes,Component coefficients,Gene products
CPX-397,YLR423C // YPL166W // YDR022C,TUPLE // YLR423C-MONOMER // 2 // TUPLE // YPL166W-MONOMER // 2 // TUPLE // YDR022C-MONOMER // 2,YLR423C-MONOMER // YPL166W-MONOMER // YDR022C-MONOMER
CPX-3621,YDR499W // YBR136W,TUPLE // YDR499W-MONOMER // 2 // TUPLE // YBR136W-MONOMER // 2,YDR499W-MONOMER // YBR136W-MONOMER
CPX-2894,YKL004W // YDR367W,TUPLE // YKL004W-MONOMER // 1 // TUPLE // YDR367W-MONOMER // 1,YKL004W-MONOMER // YDR367W-MONOMER
CPX-1417,YLR116W // YKL074C,TUPLE // YLR116W-MONOMER // 1 // TUPLE // YKL074C-MONOMER // 1,YLR116W-MONOMER // YKL074C-MONOMER
CPX-1331,Q0115 // YIR021W,TUPLE // Q0115-MONOMER // 1 // TUPLE // YIR021W-MONOMER // 4,Q0115-MONOMER // YIR021W-MONOMER
CPX-1314,Q0120 // YLR382C,TUPLE // Q0120-MONOMER // 1 // TUPLE // YLR382C-MONOMER // 1,Q0120-MONOMER // YLR382C-MONOMER
CPX-1153,YKL061W // YLR408C // YDR357C // YGL079W // YNL086W // YEL005C,TUPLE // YKL061W-MONOMER // 1 // TUPLE // YLR408C-MONOMER // 1 // TUPLE // YDR357C-MONOMER // 1 // TUPLE // YGL079W-MONOMER // 1 // TUPLE // YNL086W-MONOMER // 1 // TUPLE // YEL005C-MONOMER // 1,YKL061W-MONOMER // YLR408C-MONOMER // YDR357C-MONOMER // YGL079W-MONOMER // YNL086W-MONOMER // YEL005C-MONOMER
CPX-1606,YPL217C // YOL010W,TUPLE // YPL217C-MONOMER // 1 // TUPLE // YOL010W-MONOMER // 1,YPL217C-MONOMER // YOL010W-MONOMER
CPX-729,YDL014W // YLR197W // YOR310C // YEL026W,TUPLE // YDL014W-MONOMER // 1 // TUPLE // YLR197W-MONOMER // 1 // TUPLE // YOR310C-MONOMER // 1 // TUPLE // YEL026W-MONOMER // 1,YDL014W-MONOMER // YLR197W-MONOMER // YOR310C-MONOMER // YEL026W-MONOMER
CPX-737,YLR175W // YHR089C // YDL208W // YHR072W-A,TUPLE // YLR175W-MONOMER // 1 // TUPLE // YHR089C-MONOMER // 1 // TUPLE // YDL208W-MONOMER // 1 // TUPLE // YHR072W-A-MONOMER // 1,YLR175W-MONOMER // YHR089C-MONOMER // YDL208W-MONOMER // YHR072W-A-MONOMER
