Product Name,Genes,Component coefficients,Gene products
CPLX3O-10540,YDR238C // YNL287W // YFR051C // YPL010W,TUPLE // YDR238C-MONOMER // 1 // TUPLE // YNL287W-MONOMER // 1 // TUPLE // YFR051C-MONOMER // 1 // TUPLE // YPL010W-MONOMER // 1,YDR238C-MONOMER // YNL287W-MONOMER // YFR051C-MONOMER // YPL010W-MONOMER
CPLX3O-10516,YER070W // YIL066C,TUPLE // YER070W-MONOMER // 1 // TUPLE // YIL066C-MONOMER // 1,YER070W-MONOMER // YIL066C-MONOMER
CPLX3O-10529,,TUPLE // MONOMER3O-32371 // 1,
CPLX3O-5,G3O-2,TUPLE // MONOMER3O-4 // 2,MONOMER3O-4
CPLX-567,YGR155W,TUPLE // YGR155W-MONOMER // 4,YGR155W-MONOMER
CPLX-568,YAL012W,TUPLE // YAL012W-MONOMER // 4,YAL012W-MONOMER
CPLX-9296,YFR055W,TUPLE // YFR055W-MONOMER // 4,YFR055W-MONOMER
CPLX-8623,YLR245C,TUPLE // YLR245C-MONOMER // 2,YLR245C-MONOMER
CPLX3O-117,Q0045 // Q0250 // Q0275 // YGL187C // YNL052W // YHR051W // YMR256C // YLR395C // YDL067C // YLR038C // YGL191W,TUPLE // Q0045-MONOMER // 1 // TUPLE // Q0250-MONOMER // 1 // TUPLE // Q0275-MONOMER // 1 // TUPLE // YGL187C-MONOMER // 1 // TUPLE // YNL052W-MONOMER // 1 // TUPLE // YHR051W-MONOMER // 1 // TUPLE // YMR256C-MONOMER // 1 // TUPLE // YLR395C-MONOMER // 1 // TUPLE // YDL067C-MONOMER // 1 // TUPLE // YLR038C-MONOMER // 1 // TUPLE // YGL191W-MONOMER // 1,Q0045-MONOMER // Q0250-MONOMER // Q0275-MONOMER // YGL187C-MONOMER // YNL052W-MONOMER // YHR051W-MONOMER // YMR256C-MONOMER // YLR395C-MONOMER // YDL067C-MONOMER // YLR038C-MONOMER // YGL191W-MONOMER
CPLX-6362,YPR200C,TUPLE // YPR200C-MONOMER // 2,YPR200C-MONOMER
CPLX3O-88,YOL126C,TUPLE // YOL126C-MONOMER // 2,YOL126C-MONOMER
CPLX-8436,YDR001C,TUPLE // YDR001C-MONOMER // 2,YDR001C-MONOMER
CPLX3O-20,YBR149W,TUPLE // MONOMER3O-32367 // 1 // TUPLE // MONOMER3O-32366 // 1,MONOMER3O-32367 // MONOMER3O-32366
CPLX3O-10530,YMR101C // YDL193W,TUPLE // YMR101C-MONOMER // 1 // TUPLE // YDL193W-MONOMER // 1,YMR101C-MONOMER // YDL193W-MONOMER
CPLX3O-10531,YBR002C // YDL193W,TUPLE // YBR002C-MONOMER // 1 // TUPLE // YDL193W-MONOMER // 1,YBR002C-MONOMER // YDL193W-MONOMER
CPLX-8706,YLR284C,TUPLE // YLR284C-MONOMER // 6,YLR284C-MONOMER
CPLX3O-16,YDR148C,TUPLE // YDR148C-MONOMER // 1,YDR148C-MONOMER
CPLX-7727,YKL216W,TUPLE // YKL216W-MONOMER // 2,YKL216W-MONOMER
CPLX3O-14,G-34532,TUPLE // MONOMER-18824 // 1,MONOMER-18824
CPLX-9256,YDL095W // YAL023C,TUPLE // YDL095W-MONOMER // 1 // TUPLE // YAL023C-MONOMER // 1,YDL095W-MONOMER // YAL023C-MONOMER
Ent-B,,,
CPLX-710,YJL167W,TUPLE // MONOMER-655 // 2,MONOMER-655
CPLX-7627,YKL182W // YPL231W,TUPLE // YKL182W-MONOMER // 6 // TUPLE // YPL231W-MONOMER // 6,YKL182W-MONOMER // YPL231W-MONOMER
Flavorubredoxin,,,
CPLX-8091,YGR019W,TUPLE // YGR019W-MONOMER // 4,YGR019W-MONOMER
CPLX-7567,YIL099W,TUPLE // YIL099W-MONOMER // 2,YIL099W-MONOMER
CPLX-7401,YFL017C,TUPLE // YFL017C-MONOMER // 2,YFL017C-MONOMER
CPLX-4261,YBR196C,TUPLE // YBR196C-MONOMER // 2,YBR196C-MONOMER
CPLX-6841,YOR375C,TUPLE // YOR375C-MONOMER // 6,YOR375C-MONOMER
CPLX-6842,YAL062W,TUPLE // YAL062W-MONOMER // 6,YAL062W-MONOMER
CPLX-7379,YDL171C,TUPLE // YDL171C-MONOMER // 3,YDL171C-MONOMER
CPLX-7158,YPR035W,TUPLE // YPR035W-MONOMER // 8,YPR035W-MONOMER
CPLX-8922,YBR281C // YNL191W,TUPLE // CPLX-8921 // 2 // TUPLE // YBR281C-MONOMER // 4 // TUPLE // YNL191W-MONOMER // 2,YBR281C-MONOMER // YNL191W-MONOMER
CPLX-8755,YDL022W,TUPLE // YDL022W-MONOMER // 2,YDL022W-MONOMER
CPLX3O-213,YFL018C // YMR189W // YDR019C // YAL044C,TUPLE // YFL018C-MONOMER // 1 // TUPLE // YMR189W-MONOMER // 2 // TUPLE // YDR019C-MONOMER // 1 // TUPLE // YAL044C-MONOMER // 1,YFL018C-MONOMER // YMR189W-MONOMER // YDR019C-MONOMER // YAL044C-MONOMER
CPLX-7568,YPR160W,TUPLE // YPR160W-MONOMER // 2,YPR160W-MONOMER
CPLX-8637,YMR217W,TUPLE // YMR217W-MONOMER // 2,YMR217W-MONOMER
CPLX-7572,YBR003W,TUPLE // YBR003W-MONOMER // 2,YBR003W-MONOMER
CPLX3O-10524,G3O-33466,TUPLE // CPLX3O-80 // 2 // TUPLE // MONOMER3O-77 // 4,MONOMER3O-77
CPLX3O-80,G3O-33466,TUPLE // MONOMER3O-77 // 2,MONOMER3O-77
CPLX-623,YNL277W,TUPLE // YNL277W-MONOMER // 2,YNL277W-MONOMER
CPLX-707,YML126C,TUPLE // YML126C-MONOMER // 2,YML126C-MONOMER
CPLX3O-82,G3O-34143,TUPLE // MONOMER3O-81 // 2,MONOMER3O-81
CPLX-8140,YDR399W,TUPLE // YDR399W-MONOMER // 2,YDR399W-MONOMER
CPLX3O-11,G3O-310,TUPLE // MONOMER3O-10 // 4,MONOMER3O-10
CPLX-8575,YPL057C // YBR161W,TUPLE // MONOMER3O-703 // 1 // TUPLE // YBR161W-MONOMER // 1,MONOMER3O-703 // YBR161W-MONOMER
CPLX3O-383,YPL057C // YBR036C,TUPLE // MONOMER3O-703 // 1 // TUPLE // MONOMER3O-695 // 1,MONOMER3O-703 // MONOMER3O-695
CPLX-8573,YKL004W // YDR367W,TUPLE // MONOMER3O-630 // 1 // TUPLE // YDR367W-MONOMER // 1,MONOMER3O-630 // YDR367W-MONOMER
CPLX-9284,YOR126C,TUPLE // YOR126C-MONOMER // 2,YOR126C-MONOMER
CPLX3O-679,YOR136W // YNL037C,TUPLE // YOR136W-MONOMER // 2 // TUPLE // YNL037C-MONOMER // 1,YOR136W-MONOMER // YNL037C-MONOMER
CPLX-8670,YPL135W,TUPLE // YPL135W-MONOMER // 2,YPL135W-MONOMER
CPLX3O-10521,YOR226C,TUPLE // YOR226C-MONOMER // 2,YOR226C-MONOMER
CPLX3O-110,YDL080C,TUPLE // MONOMER3O-409 // 1,MONOMER3O-409
CPLX-7294,YML054C,TUPLE // YML054C-MONOMER // 4,YML054C-MONOMER
CPLX3O-29,YJL153C,TUPLE // YJL153C-MONOMER // 4,YJL153C-MONOMER
CPLX-7266,YEL046C,TUPLE // YEL046C-MONOMER // 4,YEL046C-MONOMER
CPLX-8921,YBR281C,TUPLE // YBR281C-MONOMER // 2,YBR281C-MONOMER
CPLX-8685,YNL117W,TUPLE // YNL117W-MONOMER // 3,YNL117W-MONOMER
CPLX-8686,YIR031C,TUPLE // YIR031C-MONOMER // 3,YIR031C-MONOMER
CPLX-9252,YBR229C // YDR221W,TUPLE // YBR229C-MONOMER // 1 // TUPLE //YDR221W-MONOMER // 1,YBR229C-MONOMER //YDR221W-MONOMER
CPLX-582,YLR180W,TUPLE // YLR180W-MONOMER // 4,YLR180W-MONOMER
CPLX-602,YDR502C,TUPLE // MONOMER3O-1014 // 4,MONOMER3O-1014
