,seed_id
s_0608_c,CHEBI:53027
s_0608_n,CHEBI:53027
s_0610_c,C00881
s_0610_e,C00881
s_0612_c,C01909
s_0613_c,C00361
s_0613_n,C00361
s_0615_c,C00362
s_0615_m,C00362
s_0617_c,C00286
s_0618_c,C01344
s_0620_c,C00165
s_0620_er,C00165
s_0620_erm,C00165
s_0625_c,C00415
s_0625_m,C00415
s_0627_m,C00579
s_0628_m,C02972
s_0629_c,C00111
s_0629_erm,C00111
s_0629_lp,C00111
s_0629_m,C00111
s_0633_c,C00013
s_0633_ce,C00013
s_0633_e,C00013
s_0633_erm,C00013
s_0633_lp,C00013
s_0633_m,C00013
s_0633_mm,C00013
s_0633_n,C00013
s_0633_p,C00013
s_0639_c,C01345
s_0640_lp,CHEBI:53031
s_0641_lp,CHEBI:53041
s_0642_c,C00381
s_0644_er,C03862
s_0645_c,C00110
s_0645_er,C00110
s_0647_c,C00363
s_0649_c,C00364
s_0650_c,C00459
s_0650_e,C00459
s_0652_c,C01346
s_0652_n,C01346
s_0654_c,C00365
s_0654_n,C00365
s_0656_c,C00460
s_0657_c,C15777
s_0657_e,C15777
s_0657_erm,C15777
s_0657_lp,C15777
s_0662_c,C05440
s_0662_e,C05440
s_0662_er,C05440
s_0664_c,C15780
s_0665_c,C01694
s_0665_ce,C01694
s_0665_e,C01694
s_0665_er,C01694
s_0665_erm,C01694
s_0665_lp,C01694
s_0670_c,CHEBI:52973
s_0672_c,CHEBI:52320
s_0672_erm,CHEBI:52320
s_0677_c,C05947
s_0677_m,C05947
s_0677_p,C05947
s_0680_c,C00469
s_0680_e,C00469
s_0680_m,C00469
s_0683_c,C00189
s_0683_e,C00189
s_0685_c,C00849
s_0685_e,C00849
s_0687_c,C00016
s_0687_m,C00016
s_0689_c,C01352
s_0689_m,C01352
s_0694_c,C00162
s_0699_c,C04525
s_0699_ce,C04525
s_0699_e,C04525
s_0699_erm,C04525
s_0699_lp,C04525
s_0709_m,C00125
s_0710_m,C00126
s_0712_m,C00032
s_0713_m,C03294
s_0714_c,C00061
s_0714_e,C00061
s_0714_m,C00061
s_0717_c,C01847
s_0719_c,C00504
s_0719_e,C00504
s_0721_c,C00067
s_0722_c,C00058
s_0722_e,C00058
s_0722_m,C00058
s_0725_c,C00122
s_0725_e,C00122
s_0725_m,C00122
s_0734_c,C00334
s_0734_e,C00334
s_0734_m,C00334
s_0739_c,C00035
s_0739_er,C00035
s_0739_g,C00035
s_0739_m,C00035
s_0739_n,C00035
s_0743_c,C00096
s_0743_er,C00096
s_0743_g,C00096
s_0745_c,C00341
s_0747_m,C02282
s_0748_m,C02987
s_0750_c,C00051
s_0750_e,C00051
s_0750_er,C00051
s_0750_m,C00051
s_0750_p,C00051
s_0750_v,C00051
s_0754_c,C00127
s_0754_e,C00127
s_0754_m,C00127
s_0754_p,C00127
s_0764_c,C00661
s_0765_c,C00116
s_0765_e,C00116
s_0765_lp,C00116
s_0767_c,C00093
s_0767_erm,C00093
s_0767_lp,C00093
s_0767_m,C00093
s_0767_mm,C00093
s_0771_c,C00184
s_0771_e,C00184
s_0773_c,C00182
s_0773_v,C00182
s_0775_c,C00266
s_0775_e,C00266
s_0775_m,C00266
s_0779_c,C00048
s_0779_e,C00048
s_0779_p,C00048
s_0782_c,C00144
s_0782_e,C00144
s_0782_g,C00144
s_0785_c,C00044
s_0785_m,C00044
s_0787_c,C00242
s_0787_e,C00242
s_0787_m,C00242
s_0790_c,C00387
s_0790_e,C00387
s_0790_m,C00387
s_0793_c,cpd00067
s_0793_ce,cpd00067
s_0793_e,cpd00067
s_0793_er,cpd00067
s_0793_erm,cpd00067
s_0793_g,cpd00067
s_0793_gm,cpd00067
s_0793_lp,cpd00067
s_0793_m,cpd00067
s_0793_mm,cpd00067
s_0793_n,cpd00067
s_0793_p,cpd00067
s_0793_v,cpd00067
s_0793_vm,cpd00067
s_0803_c,cpd00001
s_0803_ce,cpd00001
s_0803_e,cpd00001
s_0803_er,cpd00001
s_0803_erm,cpd00001
s_0803_g,cpd00001
s_0803_gm,cpd00001
s_0803_lp,cpd00001
s_0803_m,cpd00001
s_0803_mm,cpd00001
s_0803_n,cpd00001
s_0803_p,cpd00001
s_0803_v,cpd00001
s_0803_vm,cpd00001
s_0811_c,C15670
s_0811_m,C15670
s_0812_m,C15672
s_0813_lp,CHEBI:53032
s_0814_lp,CHEBI:53036
s_0815_lp,C04216
s_0816_c,CHEBI:52966
s_0816_ce,CHEBI:52966
s_0816_er,CHEBI:52966
s_0816_erm,CHEBI:52966
s_0816_lp,CHEBI:52966
s_0816_p,CHEBI:52966
s_0823_p,MNXM581
s_0825_e,C00517
s_0825_er,C00517
s_0829_lp,CHEBI:53037
s_0830_lp,C01230
s_0830_m,C01230
s_0832_m,C02988
s_0834_m,C01251
s_0834_n,C01251
s_0836_m,C05662
s_0837_c,C00027
s_0837_m,C00027
s_0837_n,C00027
s_0837_p,C00027
s_0841_c,C00283
s_0841_m,C00283
s_0843_c,C00262
s_0843_e,C00262
s_0845_lp,CHEBI:53033
s_0846_c,C00104
s_0847_m,C03127
s_0849_c,C00130
s_0850_c,C00637
s_0850_e,C00637
s_0850_m,C00637
s_0853_c,C00954
s_0853_m,C00954
s_0855_c,C00331
s_0856_c,C00294
s_0856_e,C00294
s_0859_c,CHEBI:62682
s_0859_g,CHEBI:62682
s_0861_er,CHEBI:60439
s_0861_g,CHEBI:60439
s_0861_m,CHEBI:60439
s_0864_er,CHEBI:62715
s_0864_g,CHEBI:62715
s_0864_m,CHEBI:62715
s_0867_er,CHEBI:60443
s_0867_g,CHEBI:60443
s_0867_m,CHEBI:60443
s_0870_er,CHEBI:62719
s_0870_g,CHEBI:62719
s_0870_m,CHEBI:62719
s_0873_er,CHEBI:60441
s_0873_g,CHEBI:60441
s_0873_m,CHEBI:60441
s_0876_er,CHEBI:62717
s_0876_g,CHEBI:62717
s_0876_m,CHEBI:62717
s_0879_er,CHEBI:60445
s_0879_g,CHEBI:60445
s_0879_m,CHEBI:60445
s_0882_er,CHEBI:53005
s_0882_g,CHEBI:53005
s_0882_m,CHEBI:53005
s_0885_er,CHEBI:60446
s_0885_g,CHEBI:60446
s_0885_m,CHEBI:60446
s_0888_er,CHEBI:62684
s_0888_g,CHEBI:62684
s_0888_m,CHEBI:62684
s_0892_c,CHEBI:60245
s_0892_g,CHEBI:60245
s_0894_er,CHEBI:60402
s_0894_g,CHEBI:60402
s_0894_m,CHEBI:60402
s_0897_er,CHEBI:60405
s_0897_g,CHEBI:60405
s_0897_m,CHEBI:60405
s_0900_er,CHEBI:60410
s_0900_g,CHEBI:60410
s_0900_m,CHEBI:60410
s_0903_er,CHEBI:60412
s_0903_g,CHEBI:60412
s_0903_m,CHEBI:60412
s_0906_er,CHEBI:60406
s_0906_g,CHEBI:60406
s_0906_m,CHEBI:60406
s_0909_er,CHEBI:60409
s_0909_g,CHEBI:60409
s_0909_m,CHEBI:60409
s_0912_er,CHEBI:60413
s_0912_g,CHEBI:60413
s_0912_m,CHEBI:60413
s_0915_er,CHEBI:53004
s_0915_g,CHEBI:53004
s_0915_m,CHEBI:53004
s_0918_er,CHEBI:60414
s_0918_g,CHEBI:60414
s_0918_m,CHEBI:60414
s_0921_er,CHEBI:60415
s_0921_g,CHEBI:60415
s_0921_m,CHEBI:60415
s_0924_c,C14818
s_0924_e,C14818
s_0924_m,C14818
s_0927_c,C12296
s_0927_e,C12296
s_0929_c,C07328
s_0929_e,C07328
s_0929_m,C07328
s_0932_c,C14710
s_0932_e,C14710
s_0932_m,C14710
s_0935_c,CHEBI:50569
s_0935_e,CHEBI:50569
s_0937_c,CHEBI:48943
s_0937_e,CHEBI:48943
s_0937_m,CHEBI:48943
s_0940_c,C00311
s_0940_m,C00311
s_0940_p,C00311
s_0943_c,C00129
s_0943_lp,C00129
s_0943_m,C00129
s_0946_m,C00490
s_0949_m,C00531
s_0950_c,C00081
s_0951_c,C00166
s_0952_c,C03508
s_0953_c,C00956
s_0954_m,C05938
s_0955_c,C00041
s_0955_e,C00041
s_0955_m,C00041
s_0955_v,C00041
s_0958_c,C05519
s_0959_c,C04076
s_0960_c,C11822
s_0961_c,C00532
s_0961_e,C00532
s_0963_c,C00259
s_0963_e,C00259
s_0965_c,C00062
s_0965_e,C00062
s_0965_m,C00062
s_0965_v,C00062
s_0969_c,C00152
s_0969_e,C00152
s_0969_m,C00152
s_0969_v,C00152
s_0973_c,C00049
s_0973_e,C00049
s_0973_m,C00049
s_0973_p,C00049
s_0973_v,C00049
s_0978_c,C00441
s_0979_c,C00327
s_0979_e,C00327
s_0980_c,C02291
s_0981_c,C00097
s_0981_e,C00097
s_0981_m,C00097
s_0983_c,C01419
s_0983_m,C01419
s_0984_c,C00491
s_0984_v,C00491
s_0986_c,C03287
s_0987_c,C03738
s_0988_c,C00669
s_0989_c,C01722
s_0989_e,C01722
s_0991_c,C00025
s_0991_e,C00025
s_0991_m,C00025
s_0991_n,C00025
s_0991_p,C00025
s_0991_v,C00025
s_0997_c,C01165
s_0999_c,C00064
s_0999_e,C00064
s_0999_m,C00064
s_0999_n,C00064
s_0999_v,C00064
s_1003_c,C00037
s_1003_e,C00037
s_1003_m,C00037
s_1003_v,C00037
s_1006_c,C00135
s_1006_e,C00135
s_1006_m,C00135
s_1006_v,C00135
s_1010_c,C00860
s_1011_c,C01100
s_1012_c,C00155
s_1014_c,C00263
s_1014_e,C00263
s_1016_c,C00407
s_1016_e,C00407
s_1016_m,C00407
s_1016_v,C00407
s_1020_c,C00328
s_1021_c,C00123
s_1021_e,C00123
s_1021_m,C00123
s_1021_v,C00123
s_1025_c,C00047
s_1025_e,C00047
s_1025_m,C00047
s_1025_v,C00047
s_1029_c,C00073
s_1029_e,C00073
s_1029_m,C00073
s_1029_v,C00073
s_1032_c,C00079
s_1032_e,C00079
s_1032_m,C00079
s_1035_c,C00148
s_1035_e,C00148
s_1035_m,C00148
s_1038_c,C00449
s_1039_c,C00065
s_1039_e,C00065
s_1039_er,C00065
s_1039_erm,C00065
s_1039_m,C00065
s_1043_c,C00247
s_1043_e,C00247
s_1045_c,C00188
s_1045_e,C00188
s_1045_m,C00188
s_1045_v,C00188
s_1048_c,C00078
s_1048_e,C00078
s_1048_m,C00078
s_1051_c,C00082
s_1051_e,C00082
s_1051_m,C00082
s_1051_p,C00082
s_1051_v,C00082
s_1056_c,C00183
s_1056_e,C00183
s_1056_m,C00183
s_1059_c,C01724
s_1059_e,C01724
s_1059_erm,C01724
s_1059_lp,C01724
s_1065_c,C02679
s_1065_e,C02679
s_1065_erm,C02679
s_1065_lp,C02679
s_1065_p,C02679
s_1073_c,C01832
s_1073_erm,C01832
s_1073_lp,C01832
s_1073_p,C01832
s_1077_m,C02047
s_1079_c,C00909
s_1079_n,C00909
s_1081_c,C02165
s_1081_n,C02165
s_1085_ce,C08320
s_1085_er,C08320
s_1085_erm,C08320
s_1085_lp,C08320
s_1096_c,C01356
s_1097_c,C00248
s_1097_e,C00248
s_1097_m,C00248
s_1098_m,C02051
s_1099_m,C01931
s_1101_c,C00083
s_1101_erm,C00083
s_1101_m,C00083
s_1105_c,C00208
s_1105_e,C00208
s_1107_c,C00464
s_1107_er,C00464
s_1109_er,CHEBI:60449
s_1109_m,CHEBI:60449
s_1111_er,CHEBI:60448
s_1111_m,CHEBI:60448
s_1114_c,CHEBI:25168
s_1114_g,CHEBI:25168
s_1116_er,CHEBI:60416
s_1116_g,CHEBI:60416
s_1116_m,CHEBI:60416
s_1119_er,CHEBI:62706
s_1119_g,CHEBI:62706
s_1119_m,CHEBI:62706
s_1122_er,CHEBI:60420
s_1122_g,CHEBI:60420
s_1122_m,CHEBI:60420
s_1125_er,CHEBI:62710
s_1125_g,CHEBI:62710
s_1125_m,CHEBI:62710
s_1128_er,CHEBI:60418
s_1128_g,CHEBI:60418
s_1128_m,CHEBI:60418
s_1131_er,CHEBI:62708
s_1131_g,CHEBI:62708
s_1131_m,CHEBI:62708
s_1134_er,CHEBI:60422
s_1134_g,CHEBI:60422
s_1134_m,CHEBI:60422
s_1137_er,CHEBI:62712
s_1137_g,CHEBI:62712
s_1137_m,CHEBI:62712
s_1140_er,CHEBI:60435
s_1140_g,CHEBI:60435
s_1140_m,CHEBI:60435
s_1143_er,CHEBI:62683
s_1143_g,CHEBI:62683
s_1143_m,CHEBI:62683
s_1148_m,C02430
s_1150_c,C00409
s_1151_c,C00546
s_1153_c,C00137
s_1153_e,C00137
s_1153_erm,C00137
s_1156_c,C01284
s_1156_n,C01284
s_1158_c,C01204
s_1158_e,C01204
s_1158_n,C01204
s_1161_c,C06424
s_1161_e,C06424
s_1161_erm,C06424
s_1161_lp,C06424
s_1161_p,C06424
s_1176_c,C02593
s_1176_erm,C02593
s_1176_lp,C02593
s_1176_p,C02593
s_1180_c,C00612
s_1181_c,C02567
s_1182_m,C00437
s_1183_c,C01152
s_1184_c,C04537
s_1185_c,CHEBI:50611
s_1185_e,CHEBI:50611
s_1187_c,C04302
s_1188_c,C04352
s_1189_c,C04501
s_1190_c,C00357
s_1191_m,C04133
s_1192_c,C00624
s_1192_e,C00624
s_1192_m,C00624
s_1193_c,C02714
s_1194_c,C00438
s_1195_c,C02700
s_1196_c,CHEBI:50603
s_1198_c,C00003
s_1198_er,C00003
s_1198_erm,C00003
s_1198_m,C00003
s_1198_n,C00003
s_1198_p,C00003
s_1203_c,C00004
s_1203_er,C00004
s_1203_erm,C00004
s_1203_m,C00004
s_1203_n,C00004
s_1203_p,C00004
s_1207_c,C00006
s_1207_er,C00006
s_1207_erm,C00006
s_1207_lp,C00006
s_1207_m,C00006
s_1207_p,C00006
s_1212_c,C00005
s_1212_er,C00005
s_1212_erm,C00005
s_1212_lp,C00005
s_1212_m,C00005
s_1212_p,C00005
s_1216_c,C00153
s_1216_n,C00153
s_1218_c,C03150
s_1219_c,C00253
s_1219_e,C00253
s_1219_m,C00253
s_1222_c,C01185
s_1222_m,C01185
s_1224_c,C00455
s_1224_e,C00455
s_1224_n,C00455
s_1224_p,C00455
s_1229_lp,CHEBI:53034
s_1230_c,C03885
s_1231_c,C04145
s_1231_lp,C04145
s_1233_c,C01077
s_1234_c,C00979
s_1234_m,C00979
s_1235_c,C02571
s_1235_m,C02571
s_1235_p,C02571
s_1238_c,C01102
s_1239_c,C00346
s_1239_e,C00346
s_1239_er,C00346
s_1241_c,C01118
s_1246_lp,CHEBI:53035
s_1248_c,C06423
s_1248_e,C06423
s_1248_p,C06423
s_1254_m,C05752
s_1258_p,C01944
s_1259_lp,C04146
s_1260_c,C00712
s_1260_ce,C00712
s_1260_e,C00712
s_1260_erm,C00712
s_1260_lp,C00712
s_1260_m,C00712
s_1260_p,C00712
s_1262_c,C00510
s_1262_erm,C00510
s_1262_lp,C00510
s_1262_mm,C00510
s_1262_p,C00510
s_1266_c,C01602
s_1266_e,C01602
s_1266_m,C01602
s_1269_c,C00295
s_1270_c,C01103
s_1271_c,C00036
s_1271_e,C00036
s_1271_m,C00036
s_1271_p,C00036
s_1275_c,C00007
s_1275_e,C00007
s_1275_er,C00007
s_1275_erm,C00007
s_1275_m,C00007
s_1275_p,C00007
s_1282_c,C01260
s_1283_c,C01261
s_1284_c,CHEBI:52968
s_1286_c,C00249
s_1286_ce,C00249
s_1286_e,C00249
s_1286_erm,C00249
s_1286_lp,C00249
s_1286_mm,C00249
s_1286_p,C00249
s_1293_c,C08362
s_1293_ce,C08362
s_1293_e,C08362
